Datetime,Temp. del Agua,Temp. del aire (2.5m)
2023-10-08 0:00:00,5.2,4.1
2023-10-08 0:10:00,5.2,4.3
2023-10-08 0:20:00,5.2,4.3
2023-10-08 0:30:00,5.2,4.2
2023-10-08 0:40:00,5.2,4.2
2023-10-08 0:50:00,5.2,4.3
2023-10-08 1:00:00,5.2,4.3
2023-10-08 1:10:00,5.2,4.3
2023-10-08 1:20:00,5.2,4.1
2023-10-08 1:30:00,5.2,3.5
2023-10-08 1:40:00,5.2,3.4
2023-10-08 1:50:00,5.1,3.5
2023-10-08 2:00:00,5.1,3.5
2023-10-08 2:10:00,5.1,3.7
2023-10-08 2:20:00,5.1,3.5
2023-10-08 2:30:00,5.1,3
2023-10-08 2:40:00,5.2,2.7
2023-10-08 2:50:00,5.2,2.7
2023-10-08 3:00:00,5.2,2.9
2023-10-08 3:10:00,5.1,2.9
2023-10-08 3:20:00,5.1,2.9
2023-10-08 3:30:00,5.1,2.9
2023-10-08 3:40:00,5.2,3.2
2023-10-08 3:50:00,5.2,3.1
2023-10-08 4:00:00,5.2,2.9
2023-10-08 4:10:00,5.2,2.5
2023-10-08 4:20:00,5.2,2.2
2023-10-08 4:30:00,5.2,2.2
2023-10-08 4:40:00,5.2,2.2
2023-10-08 4:50:00,5.1,2.3
2023-10-08 5:00:00,5.2,2.9
2023-10-08 5:10:00,5.1,2.8
2023-10-08 5:20:00,5.1,2.6
2023-10-08 5:30:00,5.2,2.2
2023-10-08 5:40:00,5.2,2
2023-10-08 5:50:00,5.1,2.2
2023-10-08 6:00:00,5.1,1.9
2023-10-08 6:10:00,5,1.5
2023-10-08 6:20:00,5,2
2023-10-08 6:30:00,5.1,2.3
2023-10-08 6:40:00,5.1,2.4
2023-10-08 6:50:00,5.1,2.2
2023-10-08 7:00:00,5.1,2.5
2023-10-08 7:10:00,5.1,2.3
2023-10-08 7:20:00,5.1,1.6
2023-10-08 7:30:00,5,1.3
2023-10-08 7:40:00,5,0.9
2023-10-08 7:50:00,5,0.5
2023-10-08 8:00:00,5,0.5
2023-10-08 8:10:00,5,0.5
2023-10-08 8:20:00,5,0.7
2023-10-08 8:30:00,5,2.7
2023-10-08 8:40:00,5,4.4
2023-10-08 8:50:00,5.1,3.5
2023-10-08 9:00:00,5.2,3.8
2023-10-08 9:10:00,5.2,4.2
2023-10-08 9:20:00,5.2,3
2023-10-08 9:30:00,5.2,3.4
2023-10-08 9:40:00,5.2,4.9
2023-10-08 9:50:00,5.2,2.9
2023-10-08 10:00:00,5.2,2.6
2023-10-08 10:10:00,5.2,3
2023-10-08 10:20:00,5.2,2.9
2023-10-08 10:30:00,5.2,4.2
2023-10-08 10:40:00,5.2,4.8
2023-10-08 10:50:00,5.3,4.9
2023-10-08 11:00:00,5.3,3.9
2023-10-08 11:10:00,5.3,3.9
2023-10-08 11:20:00,5.3,4.5
2023-10-08 11:30:00,5.3,5.3
2023-10-08 11:40:00,5.3,6.2
2023-10-08 11:50:00,5.3,5.3
2023-10-08 12:00:00,5.3,5.2
2023-10-08 12:10:00,5.3,6
2023-10-08 12:20:00,5.3,6.3
2023-10-08 12:30:00,5.3,5.6
2023-10-08 12:40:00,5.3,5.5
2023-10-08 12:50:00,5.3,5.1
2023-10-08 13:00:00,5.3,5.8
2023-10-08 13:10:00,5.3,4.6
2023-10-08 13:20:00,5.3,4.7
2023-10-08 13:30:00,5.3,4.6
2023-10-08 13:40:00,5.2,4.9
2023-10-08 13:50:00,5.2,4.9
2023-10-08 14:00:00,5.2,4.7
2023-10-08 14:10:00,5.3,5.1
2023-10-08 14:20:00,5.3,5.6
2023-10-08 14:30:00,5.3,7.2
2023-10-08 14:40:00,5.3,7.1
2023-10-08 14:50:00,5.3,7.5
2023-10-08 15:00:00,5.4,7.5
2023-10-08 15:10:00,5.4,7.3
2023-10-08 15:20:00,5.4,6.2
2023-10-08 15:30:00,5.4,5.7
2023-10-08 15:40:00,5.4,5.8
2023-10-08 15:50:00,5.4,4.8
2023-10-08 16:00:00,5.4,4.6
2023-10-08 16:10:00,5.3,3.5
2023-10-08 16:20:00,5.3,3.7
2023-10-08 16:30:00,5.3,4
2023-10-08 16:40:00,5.3,4.5
2023-10-08 16:50:00,5.3,5.2
2023-10-08 17:00:00,5.4,5.3
2023-10-08 17:10:00,5.4,5.7
2023-10-08 17:20:00,5.4,4.9
2023-10-08 17:30:00,5.4,5.5
2023-10-08 17:40:00,5.4,5.3
2023-10-08 17:50:00,5.4,5.3
2023-10-08 18:00:00,5.4,4.7
2023-10-08 18:10:00,5.4,4.4
2023-10-08 18:20:00,5.4,3.5
2023-10-08 18:30:00,5.4,3.1
2023-10-08 18:40:00,5.4,3.1
2023-10-08 18:50:00,5.4,3.1
2023-10-08 19:00:00,5.3,3.8
2023-10-08 19:10:00,5.3,4.4
2023-10-08 19:20:00,5.3,4.3
2023-10-08 19:30:00,5.3,4.1
2023-10-08 19:40:00,5.3,3.5
2023-10-08 19:50:00,5.3,4
2023-10-08 20:00:00,5.3,4
2023-10-08 20:10:00,5.3,3.8
2023-10-08 20:20:00,5.3,4
2023-10-08 20:30:00,5.2,4.1
2023-10-08 20:40:00,5.1,4
2023-10-08 20:50:00,5.1,3.9
2023-10-08 21:00:00,5.1,3.8
2023-10-08 21:10:00,5.2,3.8
2023-10-08 21:20:00,5.2,3.5
2023-10-08 21:30:00,5.2,3.6
2023-10-08 21:40:00,5.2,3.6
2023-10-08 21:50:00,5.2,3.6
2023-10-08 22:00:00,5.2,3.8
2023-10-08 22:10:00,5.2,4.1
2023-10-08 22:20:00,5.2,3.9
2023-10-08 22:30:00,5.2,4
2023-10-08 22:40:00,5.2,3.8
2023-10-08 22:50:00,5.2,3.5
2023-10-08 23:00:00,5.2,3.5
2023-10-08 23:10:00,5.2,3.5
2023-10-08 23:20:00,5.2,3.5
2023-10-08 23:30:00,5.2,3.5
2023-10-08 23:40:00,5.2,3.6
2023-10-08 23:50:00,5.2,3.6
2023-10-09 0:00:00,5.2,3.8
2023-10-09 0:10:00,5.2,3.7
2023-10-09 0:20:00,5.2,3.5
2023-10-09 0:30:00,5.2,3.4
2023-10-09 0:40:00,5.2,3.5
2023-10-09 0:50:00,5.1,3.5
2023-10-09 1:00:00,5.2,3.6
2023-10-09 1:10:00,5.1,3.5
2023-10-09 1:20:00,5.2,3.7
2023-10-09 1:30:00,5.2,4.1
2023-10-09 1:40:00,5.2,4.3
2023-10-09 1:50:00,5.2,4
2023-10-09 2:00:00,5.2,4.2
2023-10-09 2:10:00,5.2,4.5
2023-10-09 2:20:00,5.2,4.6
2023-10-09 2:30:00,5.2,4.4
2023-10-09 2:40:00,5.2,4.2
2023-10-09 2:50:00,5.2,4.3
2023-10-09 3:00:00,5.2,4.5
2023-10-09 3:10:00,5.1,4.4
2023-10-09 3:20:00,5.1,4.5
2023-10-09 3:30:00,5.1,4.3
2023-10-09 3:40:00,5,4.2
2023-10-09 3:50:00,5,4.2
2023-10-09 4:00:00,5,4.4
2023-10-09 4:10:00,5,4.3
2023-10-09 4:20:00,5,4.2
2023-10-09 4:30:00,5.1,4.2
2023-10-09 4:40:00,5,4.2
2023-10-09 4:50:00,5.1,4.2
2023-10-09 5:00:00,5.1,4.4
2023-10-09 5:10:00,5,4.6
2023-10-09 5:20:00,5,4.6
2023-10-09 5:30:00,5,4.6
2023-10-09 5:40:00,5,4.9
2023-10-09 5:50:00,5,4.9
2023-10-09 6:00:00,5,5
2023-10-09 6:10:00,5,4.9
2023-10-09 6:20:00,5,4.5
2023-10-09 6:30:00,5,4.2
2023-10-09 6:40:00,5,3.9
2023-10-09 6:50:00,5,3.7
2023-10-09 7:00:00,5,3.5
2023-10-09 7:10:00,5,3.5
2023-10-09 7:20:00,5,3.5
2023-10-09 7:30:00,5,4.8
2023-10-09 7:40:00,5,7.1
2023-10-09 7:50:00,5,7.4
2023-10-09 8:00:00,5,6.2
2023-10-09 8:10:00,5,4.9
2023-10-09 8:20:00,5,4.9
2023-10-09 8:30:00,5,5.8
2023-10-09 8:40:00,5.1,5.5
2023-10-09 8:50:00,5,5.6
2023-10-09 9:00:00,5,6.2
2023-10-09 9:10:00,5,5.6
2023-10-09 9:20:00,5.1,5.6
2023-10-09 9:30:00,5.1,5.3
2023-10-09 9:40:00,5.1,4.9
2023-10-09 9:50:00,5.1,4.2
2023-10-09 10:00:00,5.1,3.7
2023-10-09 10:10:00,5.1,3.3
2023-10-09 10:20:00,5,3
2023-10-09 10:30:00,5.1,2.9
2023-10-09 10:40:00,5.1,3.2
2023-10-09 10:50:00,5.1,3.4
2023-10-09 11:00:00,5.1,3.6
2023-10-09 11:10:00,5.1,3.9
2023-10-09 11:20:00,5.1,3.8
2023-10-09 11:30:00,5.1,3.7
2023-10-09 11:40:00,5.1,3.9
2023-10-09 11:50:00,5.1,3.5
2023-10-09 12:00:00,5.1,3.6
2023-10-09 12:10:00,5.1,3.5
2023-10-09 12:20:00,5,3.2
2023-10-09 12:30:00,5,3.2
2023-10-09 12:40:00,5,3.1
2023-10-09 12:50:00,5,3.2
2023-10-09 13:00:00,5.1,3.9
2023-10-09 13:10:00,5.1,3.3
2023-10-09 13:20:00,5.1,2.9
2023-10-09 13:30:00,5.1,3.5
2023-10-09 13:40:00,5.1,4.6
2023-10-09 13:50:00,5.1,5
2023-10-09 14:00:00,5.2,5.5
2023-10-09 14:10:00,5.2,3.7
2023-10-09 14:20:00,5.1,3.6
2023-10-09 14:30:00,5.1,3.1
2023-10-09 14:40:00,5.1,2.9
2023-10-09 14:50:00,5.1,2.9
2023-10-09 15:00:00,5.1,3.7
2023-10-09 15:10:00,5.1,4.8
2023-10-09 15:20:00,5.1,2.5
2023-10-09 15:30:00,5.1,3.4
2023-10-09 15:40:00,5.1,4.6
2023-10-09 15:50:00,5.1,4.3
2023-10-09 16:00:00,5.2,2.7
2023-10-09 16:10:00,5.1,2.9
2023-10-09 16:20:00,5.1,3.4
2023-10-09 16:30:00,5.2,4.2
2023-10-09 16:40:00,5.2,4
2023-10-09 16:50:00,5.2,3.9
2023-10-09 17:00:00,5.2,3.5
2023-10-09 17:10:00,5.1,3.1
2023-10-09 17:20:00,5.1,1.8
2023-10-09 17:30:00,5.1,1.8
2023-10-09 17:40:00,5.1,2.2
2023-10-09 17:50:00,5.1,2.5
2023-10-09 18:00:00,5.1,2.7
2023-10-09 18:10:00,5.1,2.2
2023-10-09 18:20:00,5.1,2.2
2023-10-09 18:30:00,5.1,1.8
2023-10-09 18:40:00,5.1,1.7
2023-10-09 18:50:00,5.1,1.5
2023-10-09 19:00:00,5,1.2
2023-10-09 19:10:00,5,1.4
2023-10-09 19:20:00,5,1.2
2023-10-09 19:30:00,5,1.2
2023-10-09 19:40:00,5,1.4
2023-10-09 19:50:00,5.1,1.1
2023-10-09 20:00:00,5,0.7
2023-10-09 20:10:00,5,1.1
2023-10-09 20:20:00,5,0.9
2023-10-09 20:30:00,5,0.9
2023-10-09 20:40:00,5,0.7
2023-10-09 20:50:00,5,0.7
2023-10-09 21:00:00,5,0.7
2023-10-09 21:10:00,5,1
2023-10-09 21:20:00,5,1
2023-10-09 21:30:00,5,1.3
2023-10-09 21:40:00,5,1
2023-10-09 21:50:00,5,1
2023-10-09 22:00:00,5,0.8
2023-10-09 22:10:00,5,0.9
2023-10-09 22:20:00,5,1
2023-10-09 22:30:00,5,0.7
2023-10-09 22:40:00,5,0.7
2023-10-09 22:50:00,5,0.4
2023-10-09 23:00:00,5,0
2023-10-09 23:10:00,5,0.1
2023-10-09 23:20:00,5,0.2
2023-10-09 23:30:00,5,0.1
2023-10-09 23:40:00,5,0.1
2023-10-09 23:50:00,5,0.1
2023-10-10 0:00:00,5,0
2023-10-10 0:10:00,5,-0.2
2023-10-10 0:20:00,5,-0.2
2023-10-10 0:30:00,5,-0.2
2023-10-10 0:40:00,5,-0.4
2023-10-10 0:50:00,4.9,-0.4
2023-10-10 1:00:00,4.9,-0.4
2023-10-10 1:10:00,4.9,-0.4
2023-10-10 1:20:00,4.9,-0.5
2023-10-10 1:30:00,4.9,-0.5
2023-10-10 1:40:00,4.9,-0.5
2023-10-10 1:50:00,4.9,-0.6
2023-10-10 2:00:00,4.9,-0.4
2023-10-10 2:10:00,4.9,-0.4
2023-10-10 2:20:00,4.9,-0.5
2023-10-10 2:30:00,4.9,-0.6
2023-10-10 2:40:00,4.9,-0.7
2023-10-10 2:50:00,4.9,-0.8
2023-10-10 3:00:00,4.9,-0.7
2023-10-10 3:10:00,4.9,-0.7
2023-10-10 3:20:00,4.9,-0.6
2023-10-10 3:30:00,4.9,-0.6
2023-10-10 3:40:00,4.9,-0.6
2023-10-10 3:50:00,4.9,-0.7
2023-10-10 4:00:00,4.9,-0.6
2023-10-10 4:10:00,4.9,-0.5
2023-10-10 4:20:00,4.9,-0.3
2023-10-10 4:30:00,4.9,-0.3
2023-10-10 4:40:00,4.9,-0.3
2023-10-10 4:50:00,4.9,-0.2
2023-10-10 5:00:00,4.9,-0.2
2023-10-10 5:10:00,4.9,0
2023-10-10 5:20:00,4.9,0.1
2023-10-10 5:30:00,4.9,-0.2
2023-10-10 5:40:00,4.9,-0.6
2023-10-10 5:50:00,4.9,-0.7
2023-10-10 6:00:00,4.9,-0.3
2023-10-10 6:10:00,4.9,0
2023-10-10 6:20:00,4.9,-0.4
2023-10-10 6:30:00,4.9,-0.3
2023-10-10 6:40:00,4.9,-0.3
2023-10-10 6:50:00,4.9,-0.2
2023-10-10 7:00:00,4.9,0
2023-10-10 7:10:00,4.9,0.1
2023-10-10 7:20:00,4.8,-0.4
2023-10-10 7:30:00,4.6,-0.5
2023-10-10 7:40:00,4.7,-0.4
2023-10-10 7:50:00,4.8,-0.3
2023-10-10 8:00:00,4.8,-0.2
2023-10-10 8:10:00,4.8,0.8
2023-10-10 8:20:00,4.9,1.9
2023-10-10 8:30:00,4.9,2.5
2023-10-10 8:40:00,4.9,2.8
2023-10-10 8:50:00,4.9,2.4
2023-10-10 9:00:00,4.9,2
2023-10-10 9:10:00,4.9,1.5
2023-10-10 9:20:00,4.9,1.3
2023-10-10 9:30:00,4.9,0.7
2023-10-10 9:40:00,4.9,1.5
2023-10-10 9:50:00,4.9,3
2023-10-10 10:00:00,4.9,3.2
2023-10-10 10:10:00,4.9,2.9
2023-10-10 10:20:00,4.9,2.2
2023-10-10 10:30:00,4.9,1.5
2023-10-10 10:40:00,4.9,1.5
2023-10-10 10:50:00,4.9,2.5
2023-10-10 11:00:00,4.9,3.3
2023-10-10 11:10:00,4.9,4.3
2023-10-10 11:20:00,4.9,4.3
2023-10-10 11:30:00,4.9,3.3
2023-10-10 11:40:00,4.9,3.5
2023-10-10 11:50:00,4.9,3.8
2023-10-10 12:00:00,4.9,3
2023-10-10 12:10:00,4.9,2.6
2023-10-10 12:20:00,4.9,2.9
2023-10-10 12:30:00,4.9,2.4
2023-10-10 12:40:00,4.9,2.2
2023-10-10 12:50:00,4.9,2.6
2023-10-10 13:00:00,4.9,2.6
2023-10-10 13:10:00,4.9,2.2
2023-10-10 13:20:00,4.9,2.2
2023-10-10 13:30:00,4.9,2.1
2023-10-10 13:40:00,4.9,2.3
2023-10-10 13:50:00,4.9,2.5
2023-10-10 14:00:00,4.9,2.7
2023-10-10 14:10:00,4.9,3
2023-10-10 14:20:00,4.9,3.2
2023-10-10 14:30:00,4.9,3.4
2023-10-10 14:40:00,4.9,3.5
2023-10-10 14:50:00,4.9,4.3
2023-10-10 15:00:00,4.9,4.3
2023-10-10 15:10:00,4.9,4.2
2023-10-10 15:20:00,4.9,3.8
2023-10-10 15:30:00,4.9,3.5
2023-10-10 15:40:00,4.9,3.9
2023-10-10 15:50:00,4.9,3.9
2023-10-10 16:00:00,4.9,3.9
2023-10-10 16:10:00,4.9,4.2
2023-10-10 16:20:00,4.9,4.2
2023-10-10 16:30:00,5,4.2
2023-10-10 16:40:00,4.9,4.4
2023-10-10 16:50:00,4.9,4.2
2023-10-10 17:00:00,5,4
2023-10-10 17:10:00,4.9,3.8
2023-10-10 17:20:00,4.9,3.9
2023-10-10 17:30:00,4.9,3.8
2023-10-10 17:40:00,4.9,3.8
2023-10-10 17:50:00,4.9,3.7
2023-10-10 18:00:00,4.9,3.5
2023-10-10 18:10:00,4.9,3.3
2023-10-10 18:20:00,4.9,3.4
2023-10-10 18:30:00,4.9,3.5
2023-10-10 18:40:00,4.9,3.5
2023-10-10 18:50:00,4.9,3.5
2023-10-10 19:00:00,4.9,3.3
2023-10-10 19:10:00,4.9,3
2023-10-10 19:20:00,4.9,2.9
2023-10-10 19:30:00,4.9,2.7
2023-10-10 19:40:00,4.9,2.6
2023-10-10 19:50:00,4.9,2.7
2023-10-10 20:00:00,4.9,2.5
2023-10-10 20:10:00,4.9,2.4
2023-10-10 20:20:00,4.9,2.5
2023-10-10 20:30:00,4.9,2.6
2023-10-10 20:40:00,4.9,2.9
2023-10-10 20:50:00,4.9,2.9
2023-10-10 21:00:00,4.9,2.5
2023-10-10 21:10:00,4.9,2.9
2023-10-10 21:20:00,4.9,3.1
2023-10-10 21:30:00,4.9,3.4
2023-10-10 21:40:00,4.9,3.5
2023-10-10 21:50:00,4.9,3.5
2023-10-10 22:00:00,4.9,3.6
2023-10-10 22:10:00,4.9,3.6
2023-10-10 22:20:00,4.9,3.5
2023-10-10 22:30:00,4.9,3.6
2023-10-10 22:40:00,4.9,3.6
2023-10-10 22:50:00,4.9,3.7
2023-10-10 23:00:00,4.9,3.7
2023-10-10 23:10:00,4.9,3.9
2023-10-10 23:20:00,4.9,4.1
2023-10-10 23:30:00,4.9,4.2
2023-10-10 23:40:00,4.9,4.3
2023-10-10 23:50:00,4.9,4.3
2023-10-11 0:00:00,4.9,4.6
2023-10-11 0:10:00,4.9,4.7
2023-10-11 0:20:00,4.9,4.9
2023-10-11 0:30:00,4.9,4.8
2023-10-11 0:40:00,4.9,4.9
2023-10-11 0:50:00,4.9,4.9
2023-10-11 1:00:00,4.9,4.9
2023-10-11 1:10:00,4.9,4.8
2023-10-11 1:20:00,4.9,4.9
2023-10-11 1:30:00,4.9,4.9
2023-10-11 1:40:00,4.9,4.8
2023-10-11 1:50:00,4.9,4.9
2023-10-11 2:00:00,4.9,4.9
2023-10-11 2:10:00,4.9,5.1
2023-10-11 2:20:00,4.9,5.2
2023-10-11 2:30:00,4.9,5.2
2023-10-11 2:40:00,4.9,5.2
2023-10-11 2:50:00,4.9,5.2
2023-10-11 3:00:00,4.9,5.3
2023-10-11 3:10:00,4.9,5.3
2023-10-11 3:20:00,4.9,5.2
2023-10-11 3:30:00,4.9,5.2
2023-10-11 3:40:00,4.9,5.3
2023-10-11 3:50:00,4.9,5.2
2023-10-11 4:00:00,4.9,5.2
2023-10-11 4:10:00,4.9,5.2
2023-10-11 4:20:00,4.9,5
2023-10-11 4:30:00,4.9,4.9
2023-10-11 4:40:00,4.9,4.9
2023-10-11 4:50:00,4.9,5
2023-10-11 5:00:00,4.9,5
2023-10-11 5:10:00,4.9,4.9
2023-10-11 5:20:00,4.9,4.8
2023-10-11 5:30:00,4.9,4.7
2023-10-11 5:40:00,4.9,4.6
2023-10-11 5:50:00,4.9,4.5
2023-10-11 6:00:00,4.9,4.5
2023-10-11 6:10:00,4.9,4.3
2023-10-11 6:20:00,4.9,4.2
2023-10-11 6:30:00,4.9,4.2
2023-10-11 6:40:00,4.9,4.2
2023-10-11 6:50:00,4.9,4.3
2023-10-11 7:00:00,4.9,4.2
2023-10-11 7:10:00,4.9,4.2
2023-10-11 7:20:00,4.9,4.4
2023-10-11 7:30:00,4.9,4.4
2023-10-11 7:40:00,4.9,4.3
2023-10-11 7:50:00,4.9,4.3
2023-10-11 8:00:00,4.9,4.4
2023-10-11 8:10:00,4.9,4.5
2023-10-11 8:20:00,4.9,4.7
2023-10-11 8:30:00,4.9,4.7
2023-10-11 8:40:00,4.9,4.7
2023-10-11 8:50:00,4.9,4.7
2023-10-11 9:00:00,4.9,4.8
2023-10-11 9:10:00,4.9,4.9
2023-10-11 9:20:00,4.9,5
2023-10-11 9:30:00,4.9,5.3
2023-10-11 9:40:00,4.9,5.6
